Term,Translation,Context,Reference,Comment,Reference translation,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.no.cookies.line1,"Мы обнаружили, что вы отключили поддержку cookie-файлов для этого сайта. Имейте в виду, что если ваш сеанс будет по какой-либо причине прерван, вы не сможете возобновить частично заполненную форму для отслеживания вашей анонимной личности.",The warning message that appears when a user has disabled cookies.,,,"We have detected that you have disabled ""cookie"" support for this website. You can do that, but please be aware that, without cookies to track your anonymous identity, you will not be able to resume a partially-filled form should your session be interrupted for some reason.",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.no.cookies.line2,"Кроме того, никому не сообщайте ваш URL-адрес, который вы используете для заполнения этого опроса. В противном случае, другой человек может продолжить ваш сеанс.",The warning message that appears when a user has disabled cookies.,,,"Also, do not copy the URL you are using to fill out this survey and share it with anybody else. If you do, they can see and resume your session.",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.remove.instance.prompt.button,"Да, удалить",This is the button label in the confirmation pop-up when you try to remove the current repeat instance.,,,"Yes, remove it",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.remove.instance.prompt.message,Подтвердите удаление группы,This is the title of the confirmation pop-up when you try to remove the current repeat instance.,,,Confirm group removal,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.remove.instance.prompt.title,Удалить группу «{0}» и все ее подгруппы?,This is the message in the confirmation pop-up when you try to remove the current repeat instance. {0} gets replaced by the repeat group label and instance number and must be included in your translation.,,,"Remove group ""{0}"" and all of its sub-groups?",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.resume.prompt.message,"Вы уже начали заполнять эту форму и последний раз обновляли ее {0}. Возобновить с того места, где вы остановились, или отказаться от этой версии и начать заново? (Если вы решите начать заново, старая версия будет удалена безвозвратно.)",This is the message in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. {0} gets replaced with the date and time of the last form session and must be included in your translation.,,,"You have already started filling out this form and last updated it on {0}. Resume from where you left off, or discard that version and start again? (If you choose to start again, the old version will be discarded and there is no undo.)",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.resume.prompt.negative.button,Отбросить,This is the button label to discard the old form in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires.,,,Discard,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.resume.prompt.positive.button,Продолжить,This is the button label to resume filling out the old form in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires.,,,Resume,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.resume.prompt.title,Найдена незаконченная форма,This is the title of the 'resume form' pop-up that is presented when a logged-in user returns after their session expires.,,,Un-finished form found,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.resume.different.caseid.negative.button,Продолжить {0},The button label to continue filling out the partially-filled form from memory. {0} will be replaced by the case ID from memory and must be included in your translation.,,,Resume {0},,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.resume.different.caseid.positive.button,Запустить {0},The button label to start a brand new form with a new case iD. {0} will be replaced by the case ID from the current URL and must be included in your translation.,,,Start {0},,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.resume.different.caseid.title,Предупреждение,The title of the pop-up message prompting which case ID to use.,,,Warning,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.start.over.prompt.button,Отбросить изменения,This is the button label to discard changes in the pop-up when you attempt to start over.,,,Discard Changes,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.start.over.prompt.message,Отбросить все изменения и начать с пустой формы?,This is the message in the pop-up when you attempt to start over.,,,Discard all changes and start over with a blank form?,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.start.over.prompt.title,Подтвердить выход,This is the title of the pop-up when you attempt to start over.,,,Confirm exit,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.success.title,Успех,Generic title of 'success' type pop-ups.,,,Success,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.warning.title,Предупреждение,Generic title of 'warning' type pop-ups.,,,Warning,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.repeat.table.add.row.button,Добавить ряд,,,,Add row,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.repeat.table.back.level.button,Назад один уровень,Tooltip when you hover over the arrow button in the top left of the table summary in a repeat group with the 'table' or 'table-labeled' appearance.,,,Back one level,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.repeat.table.label,Резюме,The heading just above the summary table in a repeat group with the 'table' or 'table-labeled' appearance.,,,Summary,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.select1.minimal.label,Выберите один ответ,The first option in the dropdown in a select_one field with the 'minimal' appearance.,,,Select one answer,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.selectx.minimal.remove.response.button.label,Удалить ответ,The button label to remove responses in a select_multiple field with the 'minimal' appearance.,,,Remove response,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.text.error.numbers.appearance.invalid.input,"Извините, но вы можете вводить только числовые цифры, символы минуса (-), символы плюса (+), запятые (,), точки (.) и пробелы ().","Error message that appears when the user enters one or more invalid characters into a field that uses the ""numbers"" appearance for showing the numeric keypad on mobile devices.",,,"Sorry, you may only enter numeric digits, minus symbols (-), plus symbols (+), commas (,), dots(.), and spaces ( ).",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.text.error.numbers.phone.appearance.invalid.input,"Извините, но вы можете вводить только цифры телефона, символы минуса (-), символы плюса (+), точки (.), Хэштеги (#), звездочки (*) и пробелы ().","Error message that appears when the user enters one or more invalid characters into a field that uses the ""numbers_phone"" appearance for showing the phone-number keypad on mobile devices.",,,"Sorry, you may only enter phone digits, minus symbols (-), plus symbols (+), dots (.), hashtags (#), asterisks (*), and spaces( ).",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.text.error.url.appearance.blank,Ни один URL-адрес не установлен.,"Error message that appears when the user clicks to open the URL on a field with the ""url"" appearance but there is no URL to open.",,,No url is set.,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.text.url.appearance.button,Открыть URL-адрес,,,,Open Url,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.thankyou.not.submitted.text,Никакие данные не были отправлены. Спасибо! ,The message after you 'submit' a form in the test view of the Form Designer but choose to discard the data.,,,Thank you! No data was submitted.,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.thankyou.not.submitted.title,Форма не была отправлена.,The title after you 'submit' a form in the test view of the Form Designer but choose to discard the data.,,,Form was not submitted,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.thankyou.submitted.text,Ваша форма была отправлена успешно. Спасибо! ,The message after you submit a form.,,,Thank you! Your form has been successfully submitted.,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.thankyou.submitted.title,Форма успешно отправлена.,The title after you submit a form.,,,Form successfully submitted,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.unknown.field.type.error.not.supported,"{0}' тип поля не возможно отображать в веб-интерфейсе, поэтому вместо него будет использовано текстовое поле.",Error message that appears when a field with an unknown field type appears in a web form. {0} gets replaced with the field label and must be included in your translation.,,,"The type of the field '{0}' cannot be displayed in the web interface, so a text field will be used instead.",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.video.select.file.button,Выбрать видео файл,The button label in a 'video' field type.,,,Select video file,,,,,,,,,,,,,,,,,,,,
web.forms.page.forms.header,Выбрать пустую форму для заполнения:,The heading text at the top of the 'fill blank form' page.,,,Choose a blank form to fill out:,,,,,,,,,,,,,,,,,,,,
web.forms.page.forms.title,Заполнить пустую форму.,The page title of the 'fill blank form' page.,,,Fill blank form,,,,,,,,,,,,,,,,,,,,
web.forms.page.main.download.app.button,Скачать приложение.,The button label on the main menu page.,,,Download app,,,,,,,,,,,,,,,,,,,,
web.forms.page.main.edit.saved.form.button,Редактировать сохраненную форму,The button label on the main menu page (only available to logged-in users).,,,Edit saved form,,,,,,,,,,,,,,,,,,,,
web.forms.page.main.fill.blank.form.button,Заполнить пустую форму.,The button label on the main menu page for logged-in users to get to the 'fill blank form' page.,,,Fill blank form,,,,,,,,,,,,,,,,,,,,
web.forms.page.main.manage.cases.button,Управлять кейсами,The button label on the main menu page (only available to logged-in users).,,,Manage cases,,,,,,,,,,,,,,,,,,,,
web.forms.page.main.sub.title,Безопасный сбор данных высокого качества,The page subheading on the main menu page (only visible to logged-in users).,,,"Secure, high quality data collection",,,,,,,,,,,,,,,,,,,,
web.forms.page.main.title,Главное меню,The page title of the main menu page (only visible to logged-in users).,,,Main menu,,,,,,,,,,,,,,,,,,,,
web.forms.page.session.error.resume.failed,Невозможно возобновить с последней сохраненной позиции: {0},"This is the error message that appears if you try to resume filling out a form from the last saved position, and an unknown error occurs. {0} gets replaced with the path to the last saved position, which includes the field name and the names of any field groups in which the field is located, and must be included in your translation.",,Added in SCTO_v2.70.8.,Cannot resume from the last saved position: {0},,,,,,,,,,,,,,,,,,,,
web.forms.page.session.error.resume.point.invalid,Последняя сохраненная позиция не соответствует никакому месту в опросе: {0},"This is the error message that appears if you try to resume filling out a form from the last saved position, but the last saved position can't be found in the form. {0} gets replaced with the path to the last saved position, which includes the field name and the names of any field groups in which the field is located, and must be included in your translation.",,Added in SCTO_v2.70.8.,The last saved position could not match a place in the survey: {0},,,,,,,,,,,,,,,,,,,,
web.forms.page.session.error.resume.point.not.found,"Извините, у этой форме нет сохраненной позиции, с которой можно было бы продолжить.","This is the error message that appears if you try to resume filling out a form from the last saved position, but there is no restore point found.",,Added in SCTO_v2.70.8.,"Sorry, this form doesn't have a saved position from which to resume.",,,,,,,,,,,,,,,,,,,,
web.forms.page.session.error.session.expired,"Эта страница устарела, вероятно, потому, что вы долгое время были неактивны. Обновите страницу чтобы продолжить.",This is the message that appears if you try to continue filling out a form but the session has expired.,,Added in SCTO_v2.70.8.,This page has expired probably because you have been inactive for a long time. Please refresh this page to continue.,,,,,,,,,,,,,,,,,,,,
web.forms.page.session.error.session.lost.message.body.anonymous,"Вы раньше входили в систему? Если да, нажмите {0} чтобы войти снова. В противном случае нажмите {1}, чтобы начать новый сеанс.","When a form session is lost, and you are not logged in, this is the second part of the message that appears. {0} gets replaced with the text from the ""Log in"" button in the current language, and must be included in your translation. {1} gets replaced with the text from the ""Start over"" button in the current language and must be included in your translation.",,Added in SCTO_v2.70.8.,"Were you logged in before? If so, click {0} to log in again. Otherwise, click {1} to start a new session.",,,,,,,,,,,,,,,,,,,,
web.forms.page.session.error.session.lost.message.body.logged.in,Чтобы начать новый сеанс опроса нажмите пожалуйста на {0}.,"When a form session is lost, and you are logged in, this is the second part of the message that appears. {0} gets replaced with the text from the ""Start over"" button in the current language and must be included in your translation. ",,Added in SCTO_v2.70.8.,Please click {0} to start a new one.,,,,,,,,,,,,,,,,,,,,
web.forms.page.session.error.session.lost.message.prefix,"Извините, но мы не можем найти вашу сессию.","When a form session is lost, this is the first part of the message that appears.",,Added in SCTO_v2.70.8.,"I'm sorry, but we can't seem to find your session.",,,,,,,,,,,,,,,,,,,,
web.forms.page.session.error.session.lost.title,Произошла ошибка,"When a form session is lost, this is the page title for the error page you land on.",,Added in SCTO_v2.70.8.,An error has occurred,,,,,,,,,,,,,,,,,,,,
web.forms.page.shared.form.delete.button,Удалить,The button label for deleting a form on the 'delete saved form' page (only available to logged-in users).,,,Delete,,,,,,,,,,,,,,,,,,,,
web.forms.page.shared.form.fill.out,Заполнять,The button label for filling out a form from any of the main menu sub-pages.,,,Fill out,,,,,,,,,,,,,,,,,,,,
web.forms.page.shared.form.resume.button,Продолжить,The button label for resuming a form from the 'edit saved form' page (only available to logged-in users).,,,Resume,,,,,,,,,,,,,,,,,,,,
web.forms.page.shared.form.title,Заглавие,,,,Title,,,,,,,,,,,,,,,,,,,,
web.forms.page.shared.no.forms.msg,Активных форм не найдено.,The message when there are no saved forms on any of the main menu pages (only available to logged-in users).,,,There are no instances.,,,,,,,,,,,,,,,,,,,,
web.forms.page.shared.return.to.main.page.button,Вернуться к главному меню,The button label for returning to the main menu when you are on any of the main menu sub-pages.,,,Return to main menu,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.date.months.april,апреля,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,April,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.date.months.august,август,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,August,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.date.months.december,декабрь,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,December,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.date.months.february,февраль,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,February,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.date.months.january,январь,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,January,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.date.months.july,июль,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,July,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.date.months.june,июнь,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,June,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.date.months.march,март,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,March,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.date.months.may,май,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,May,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.date.months.november,ноябрь,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,November,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.date.months.october,октября,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,October,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.date.months.september,сентябрь,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,,September,,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.error.not.supported.web,"Извините, но при отображении этого поля произошла ошибка. Следующая функция не поддерживаются на веб-платформах: {0}. Текущее поле может использовать альтернативный вид, чтобы вы смогли продолжить заполнение этой формы. Для достижения наилучших результатов используйте SurveyCTO Collect на устройстве Android, чтобы заполнить эту форму.","This is the error message that is displayed when the current field contains a feature that is unsupported in web forms, but may be supported in Collect for Android or Collect for iOS. {0} will be replaced with the specific feature name that is unsupported, and must be included in your translation.",,,"Sorry, there was an error displaying this field. The following feature is not supported in web forms: {0}. The current field may be using a fallback appearance to allow you to continue filling out this form. For best results, use SurveyCTO Collect on an Android device to fill this form out.",,,,,,,,,,,,,,,,,,,,
web.forms.page.filling.popups.resume.different.caseid.message,"Вы собираетесь начинать новую форму для идентификатора обращения ""{0}"". Мы заметили, что вы не завершили заполнение формы для идентификатора обращения ""{1}"". Хотите возобновить заполнение этой формы или начать новую?","Whenever a user visits a form that they had already started filling out, SurveyCTO attempts to resume the partially-filled form from memory. If the partially-filled form has a different case ID than the current URL, a pop-up will appear with this message asking which form they wish to fill out. {0} will be replaced by the case ID from the current URL, and {1} will be replaced by the case ID from memory. Both {0} and {1} must be included in your translation.",,,"You are about to start a new form for case ID ""{0}"". We noticed that you haven't finished filling out the form for case ID ""{1}"". Do you want to resume filling out that form, or start a new one?",,,,,,,,,,,,,,,,,,,,
web.forms.page.shared.form.last.saved,Последнее сохранение,The label preceding the timestamp on all of the main menu sub-pages (only available to logged-in users).,,,Last saved,,,,,,,,,,,,,,,,,,,,
web.forms.page.shared.form.name,Имя,The label preceding the form name on all of the main menu sub-pages for logged-in users.,,,Name,,,,,,,,,,,,,,,,,,,,
web.forms.page.shared.form.id,Идентификация,The label preceding the form ID on all of the main menu sub-pages.,,,ID,,,,,,,,,,,,,,,,,,,,
web.forms.page.shared.form.version,Версия,The label preceding the form version on all the main menu sub-pages.,,,Version,,,,,,,,,,,,,,,,,,,,
web.forms.page.main.delete.saved.form.button,Удалить сохраненную форму,The button label on the main menu page (only available to logged-in users).,,,Delete saved form,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.fill.web.data.collection.disabled.text,"(Сбор данных через Интернет не включен для этого сервера, поэтому для сбора данных необходимо использовать мобильное приложение.)",Warning that appears when you access the login page but an admin has disabled web data collection.,,,"(Web data collection has not been enabled for this server, so you must use the mobile app to collect data.)",,,,,,,,,,,,,,,,,,,,
web.forms.page.login.go.back.to.console.link,"Чтобы войти в консоль сервера, нажмите здесь.",Link for returning to the server console.,,,Click here to login to the server console.,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.fill.web.forms.anonymously.button,Анонимная заполнение веб-форм,The button label for filling web forms anonymously.,,,Fill web forms anonymously,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.or.text,Или,"This text separates the different form access options on the login page (fill forms anonymously, log in, or download the mobile app). Please note: this text will always be rendered in uppercase letters. ",,,Or,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.servername.input,Название сервера:,The label for the server name input on the login page.,,,Server name:,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.username.input,Адрес электронной почты или имя пользователя:,The label for the username input on the login page.,,,Email address or username:,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.username.placeholder,Ваш адрес электронной почты или имя пользователя,This is the placeholder for the username input on the login page.,,,Your email or username,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.password.input,Пароль:,The label for the password input on the login page.,,,Password:,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.password.placeholder,Ваш пароль,This is the placeholder for the password input on the login page.,,,Your password,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.back.button,Назад,"The button label for changing the username for login. Appears when external authentication (SSO) is set up on the server, but the current username specified requires a password.",,,Back,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.next.button,Далее,"The button label for proceeding with the login. Appears when external authentication (SSO) is set up on the server, but the current username specified requires a password.",,,Next,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.login.button,Войти,The button label for logging in.,,,Log in,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.terms.conditions.link,Условия и положения,The label for the terms and conditions link.,,,Terms and conditions,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.brought.to.you.by.text,Предоставлено вами,Dobility branding. Appears only on the login page.,,,Brought to you by,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.no.cookies.error,"Похоже, вы отключили поддержку файлов cookie в настройках конфиденциальности своего интернет-браузера, но SurveyCTO требует файлы cookie чтобы работать. Вы не сможете войти в систему, пока не включите файлы cookie и не обновите эту страницу.",Error message that appears when you try to log in with cookies disabled.,,,"It looks like you have disabled ""cookie"" support in your Internet browser's privacy settings, but SurveyCTO requires cookies to function. Therefore, you are unlikely to be able to login until you enable cookies and refresh this page.",,,,,,,,,,,,,,,,,,,,
web.forms.page.login.authentication.options.error,"К сожалению, нам не удалось определить параметры аутентификации для '{0}'.",Error message that appears when the server cannot identify authentication options for a username. {0} gets replaced with the attempted username and must be included in your translation.,,,I'm sorry but we couldn't identify authentication options for '{0}'.,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.headline,Войти в,The headline above the login section on the login page. This text is immediately followed by the server name.,,Added in SCTO_v2.70.9.,Log in to,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.existing.account.text,У вас уже есть учетная запись на этом сервере?,This is the hint text that appears above the login section on the login page.,,Added in SCTO_v2.70.9.,Do you already have a user account on this server?,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.view.public.forms.text,Хотите заполнять формы без авторизации?,This is the hint text that appears on the login page above the button to view public forms without logging in.,,Added in SCTO_v2.70.9.,Want to fill out forms without logging in?,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.view.public.forms.button,Просмотр общедоступных форм,This is the button label on the login page to view public forms without logging in.,,Added in SCTO_v2.70.9.,View public forms,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.private.form.title,Эта форма является частной,This is the title of the message box that appears when you follow a direct link to a private web form without being logged in.,,Added in SCTO_v2.70.9.,This form is private,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.private.form.body.line1,"Доступ к форме, которую вы пытаетесь заполнить ({0}), возможен только с учетной записью на {1}.",This is the first part of the message that appears when you follow a direct link to a private web form without being logged in. {0} gets replaced with the form ID. {1} gets replaced with the server URL. Both must be included in your translation.,,Added in SCTO_v2.70.9.,The form you're attempting to fill out ({0}) can only be accessed with an account on {1}.,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.private.form.body.line2,"Если у вас нет учетной записи на этом сервере, свяжитесь с отправлительем ссылке. Вы можете запросить имя пользователя и пароль, или разрешение на {0} к этой формы.","This is the second part of the message that appears when you follow a direct link to a private web form without being logged in. {0} gets replaced with a link to a documentation article on allowing anonymous access, and must be included in your translation.",,Added in SCTO_v2.70.9.,"If you do not have a user account on this server, please contact the person who gave you this link and ask them for a username and password. Or, ask them to allow {0} for this form.",,,,,,,,,,,,,,,,,,,,
web.forms.page.login.private.form.allow.anonymous.link,анонимный доступ,This is the label for the link in the previous term (web.forms.page.login.private.form.body.line2).,,Added in SCTO_v2.70.9.,allow anonymous access,,,,,,,,,,,,,,,,,,,,
web.forms.page.login.download.app.text,Ищите приложение Collect?,This is the hint text that appears on the login page above the links to download the Collect app on the Apple App Store and Google Play Store.,,Added in SCTO_v2.70.9.,Looking for the Collect app?,,,,,,,,,,,,,,,,,,,,