Term,Translation,Reference translation,Context,Reference,Comment
commons.learn.more,మరింత తెలుసుకోవడానికి,Learn more...,Put anywhere the user can learn more by clicking on a link.,,
commons.powered.by.surveycto,{0} ద్వారా ఆధారితం,Powered by {0},"SurveyCTO branding. {0} gets replaced by ""SurveyCTO"" and must be included in your translation.",,
web.forms.page.delete.instances.confirmation.message,మీరు ఈ ఫారమ్‌ను ఖచ్చితంగా తొలగించాలనుకుంటున్నారా?,Are you sure you want to delete this form?,"Text to confirm that the user wants to delete a filled-out form (i.e., a submission).",,
web.forms.page.delete.instances.confirmation.negative.button,తొలగించవద్దు,Do not delete,"Button to confirm that the user does NOT want to delete a filled-out form (i.e., to cancel deleting a submission).",,
web.forms.page.delete.instances.confirmation.positive.button,"అవును, తొలగించండి","Yes, delete it","Button to confirm that the user DOES want to delete a filled-out form (i.e., a submission).",,
web.forms.page.delete.instances.confirmation.title,తొలగింపును నిర్ధారించండి,Confirm deletion,"Title of the window to confirm that the user wants to delete a filled-out form (i.e., a submission).",,
web.forms.page.delete.instances.header,తొలగించడానికి ఒక ఫారమ్‌ను ఎంచుకోండి:,Choose a form to delete:,Header for list of filled-out forms that can be deleted.,,
web.forms.page.delete.instances.title,సేవ్ చేసిన ఫారమ్‌ను తొలగించండి,Delete saved form,Title for list of filled-out forms that can be deleted.,,
web.forms.page.edit.instances.header,సవరణను తిరిగి ప్రారంభించడానికి సేవ్ చేసిన ఫారమ్‌ను ఎంచుకోండి:,Choose a saved form to resume editing:,Header for list of saved forms that can be resumed.,,
web.forms.page.edit.instances.title,సేవ్ చేసిన ఫారమ్‌ల జాబితా,Saved forms list,Title for list of saved forms that can be resumed.,,
web.forms.page.error.traffic.jam,"క్షమించండి, మేము మీ అభ్యర్థనను ప్రాసెస్ చేయలేకపోయాము. దయచేసి మళ్ళీ ప్రయత్నించండి లేదా మీ పేజీని రిఫ్రెష్ చేయండి. (వివరాలు: {0})","Traffic jam! I'm sorry, but we were unable to process your request. Please try again or refresh your page. (Details: {0})",This is the error message that can appear if the server becomes temporarily overloaded. {0} gets replaced with details about the error and must be included in your translation.,,Added in SCTO_v2.70.8.
web.forms.page.filling.audio.select.file.button,ఆడియో ఫైల్‌ను ఎంచుకోండి,Select audio file,Button for selecting an audio file.,,
web.forms.page.filling.banner.tooltip,{0} (వెర్షన్: {1}),{0} (version: {1}),Information about the current form that appears if the user hovers their mouse over the form title in the upper-left. {0} gets replaced with the current form title. {1} gets replaced with the form version. Both must be included in your translation.,,
web.forms.page.filling.binary.error.large.file,"క్షమించండి, కానీ మీరు {0} MB కంటే ఎక్కువ పరిమాణంలో ఉన్న ఫైల్‌ను అటాచ్ చేయలేరు. కొనసాగించే ముందు చిన్న ఫైల్‌ను అటాచ్ చేయండి.","I'm sorry, but you cannot attach a file that is more than {0}MB in size. Please attach a smaller file before continuing.",Error message that appears when the user tries to attach a file that is too large. {0} gets replaced with the max file size (in megabytes) and must be included in your translation.,,
web.forms.page.filling.file.current.selection.label,ప్రస్తుత ఎంపిక,Current selection,This is the text that appears immediately before the selected file name once you've made a selection in a file field.,,
web.forms.page.filling.file.select.different.button,వేరే ఫైల్‌ను ఎంచుకోండి,Select a different file,This is the button label once you've made a selection in a file field.,,
web.forms.page.filling.file.select.file.button,ఫైల్‌ను ఎంచుకోండి,Select a file,This is the default button label in a file field before you've made a selection.,,
web.forms.page.filling.generic.error.filetype.name.audio,ఆడియో,audio,This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.,,Added in SCTO_v2.70.8.
web.forms.page.filling.generic.error.filetype.name.file,ఫైల్,file,This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.,,Added in SCTO_v2.70.8.
web.forms.page.filling.generic.error.filetype.name.image,చిత్రం,image,This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.,,Added in SCTO_v2.70.8.
web.forms.page.filling.generic.error.filetype.name.video,వీడియో,video,This is the name of the expected file type that gets used in the error message web.forms.page.filling.generic.error.invalid.file.type.,,Added in SCTO_v2.70.8.
web.forms.page.filling.generic.error.invalid.file.type,"""{0}"" ఫైల్ చెల్లుబాటు అయ్యే {1} ఫైల్ కాదు. చెల్లుబాటు అయ్యే పొడిగింపులు:","The file ""{0}"" is not a valid {1} file. Valid extensions include: ",This is the error message that appears when you attempt to upload an invalid file type. {0} gets replaced with the filename of the file you're attempting to upload. {1} gets replaced with the expected file type in the current language. Both {0} and {1} must be included in your translation. A list of allowable file extensions (in English) are added to the end of this message.,,Added in SCTO_v2.70.8.
web.forms.page.filling.generic.error.invalid.file.type.executable,"క్షమించండి, భద్రతా కారణాల దృష్ట్యా, మీరు ఎక్జిక్యూటబుల్ ఫైల్‌ను అప్‌లోడ్ చేయలేరు.","I'm sorry, for security reasons, you cannot upload an executable file.",This is the error that appears when you try and upload an executable file.,,Added in SCTO_v2.70.8.
web.forms.page.filling.generic.error.invalid.file.type.mime,"క్షమించండి, కానీ ఆ ఫైల్ రకం అనుమతించబడదు ({0}).","I'm sorry, but that file type is not allowed ({0}).","This is the error message that appears when you attempt to upload a file that is disallowed by the defined MIME types. {0} gets replaced with the supplied invalid file type, and must be included in your translation.",,Added in SCTO_v2.70.8.
web.forms.page.filling.generic.error.invalid.response,"క్షమించండి, ఈ ప్రతిస్పందన చెల్లదు!","Sorry, this response is invalid!",This is the error message that appears when the response violates the constraint for the field.,,Added in SCTO_v2.70.8.
web.forms.page.filling.generic.error.missing.media,"మీడియా ఫైల్ ""{0}"" లేదు.","The media file ""{0}"" is missing.","This is the text that appears if a field is supposed to show a media file, but that media file is missing. {0} gets replaced with the filename of the missing media file and must be included in your translation.",,Added in SCTO_v2.70.8.
web.forms.page.filling.generic.error.required,"క్షమించండి, ఈ ప్రతిస్పందన అవసరం!","Sorry, this response is required!",This is the error that appears when you try and move past a required field without entering a response.,,Added in SCTO_v2.70.8.
web.forms.page.filling.geopoint.accuracy,ఖచ్చితత్వం,Accuracy,This is the text that appears immediately before the accuracy value once you've recorded your location in a geo field.,,
web.forms.page.filling.geopoint.altitude,ఎత్తు,Altitude,This is the text that appears immediately before the altitude value once you've recorded your location in a geo field.,,
web.forms.page.filling.geopoint.error.geolocation.not.supported,ఈ బ్రౌజర్ జియోలొకేషన్‌కు మద్దతు ఇవ్వదు.,Geolocation is not supported by this browser.,Error message that appears when a geopoint field is shown in a browser that does not support location services.,,
web.forms.page.filling.geopoint.error.not.available,స్థాన సమాచారం అందుబాటులో లేదు.,Location information is not available.,Error message that appears when a geopoint field is shown in a browser and location services are not available (possibly because the user has disabled location services or declined to give permission).,,
web.forms.page.filling.geopoint.error.permission.denied,స్థానాన్ని గుర్తించలేరు (అనుమతి నిరాకరించబడింది). ఈ వెబ్‌సైట్ మీ స్థానాన్ని పొందటానికి మీరు మీ బ్రౌజర్ యొక్క భద్రతా సెట్టింగులను మార్చవలసి ఉంటుంది.,Cannot identify location (permission denied). You may need to change your browser's security settings to allow this website to access your location.,Error message that appears when a geopoint field is shown in a browser and location services are not available because of security settings or the user has declined to give permission.,,
web.forms.page.filling.geopoint.error.request.timeout,వినియోగదారు స్థానాన్ని పొందాలనే అభ్యర్థనకు సమయం ముగిసింది.,The request to get user location timed out.,Error message that appears when a geopoint field is shown in a browser and the system times out before getting a valid location.,,
web.forms.page.filling.geopoint.error.unknown,తెలియని లోపం సంభవించింది.,An unknown error occurred.,Error message that appears when a geopoint field is shown in a browser and some unknown error prevents the system from reading the current location.,,
web.forms.page.filling.geopoint.latitude,అక్షాంశం,Latitude,This is the text that appears immediately before the latitude value once you've recorded your location in a geo field.,,
web.forms.page.filling.geopoint.longitude,రేఖాంశం,Longitude,This is the text that appears immediately before the longitude value once you've recorded your location in a geo field.,,
web.forms.page.filling.geopoint.record.location.button,స్థానాన్ని రెకార్డ్ చెయ్యు,Record location,The primary button label in a geo field before you've recorded a location.,,
web.forms.page.filling.geopoint.replace.location.button,స్థానాన్ని మార్చు,Replace location,This is the button label once you've recorded a location in a geo field.,,
web.forms.page.filling.go.to.button,వెళ్లు,Go to,The label for the 'go to' button.,,
web.forms.page.filling.go.to.UI.close,మూసివేయు ,Close,The label for the red button in the 'go to' screen used to exit the 'go to' screen.,,
web.forms.page.filling.go.to.UI.go.there,అక్కడికి వెళ్లు,Go there,The label for the button next to each field in the 'go to' screen.,,
web.forms.page.filling.go.to.UI.go.to.end,ముగింపుకు వెళ్ళు,Go to end,The button label in the 'go to' screen for progressing to the end of the form.,,
web.forms.page.filling.go.to.UI.go.to.start,మొదటికి వెళ్ళు ,Go to start,The button label in the 'go to' screen for returning to the beginning of the form.,,
web.forms.page.filling.go.to.UI.go.up,పైకి వెళ్ళు,Go up,The button label in the 'go to' UI for when you are currently within an instance of a repeat group and you would like to 'go up' a level.,,
web.forms.page.filling.go.to.UI.resume,పునఃప్రారంభం,Resume,"When you return to a saved form to continue filling it out, this is the button label in the 'go to' UI for resuming where you left off.",,
web.forms.page.filling.image.annotate.hint,వివరించిన  చిత్రాన్ని అప్‌లోడ్ చేయండి.,Please upload an annotated image.,This is the message that appears above the buttons when filling out an image field with the 'annotate' appearance in a web form.,,
web.forms.page.filling.image.draw.hint,డ్రా చేసిన చిత్రాన్ని అప్‌లోడ్ చేయండి.,Please upload a drawn image.,This is the message that appears above the buttons when filling out an image field with the 'draw' appearance in a web form.,,
web.forms.page.filling.image.select.file.button,చిత్రాన్ని ఎంచుకోండి,Select image,Button label in an image field for selecting an existing image.,,
web.forms.page.filling.image.signature.hint,దయచేసి మీ సంతకంతో ఫైల్‌ను అప్‌లోడ్ చేయండి.,Please upload a file with your signature.,This is the message that appears above the buttons when filling out an image field with the 'signature' appearance in a web form.,,
web.forms.page.filling.image.take.picture.button,చిత్రాన్ని తీయండి,Take picture,Button label in an image field for taking a new picture.,,
web.forms.page.filling.input.field.placeholder.label,మీ సమాధానం ఇక్కడ ...,Your answer here...,"This is the placeholder text for the input boxes in text, decimal, and integer fields. ",,
web.forms.page.filling.integer.error.not.integer,దయచేసి పూర్ణాంకం మాత్రమే నమోదు చేయండి.,Please enter an integer only.,The error message when you try to enter a non-integer into an integer field.,,
web.forms.page.filling.intro.text.line1,"మీరు ఒక ఫారమ్ ప్రారంభంలో ఉన్నారు. ప్రారంభించడానికి సిద్ధంగా ఉన్నప్పుడు, దయచేసి దిగువ లేదా కుడి వైపున ఉన్న {0} బటన్‌ను క్లిక్ చేయండి.","You are at the start of a form. When ready to begin, please click the {0} button below or to the right.",Default message that appears at the beginning of a form.,,
web.forms.page.filling.intro.text.line2,"చివరికి, మీ స్పందనలను సమర్పించే అవకాశం మీకు ఉంటుంది.","At the end, you will have the opportunity to submit your responses.",Default message that appears at the beginning of a form.,,
web.forms.page.filling.last.screen.hint,ప్రస్తుతం నింపి ఉన్న ఈ ఫారమ్‌ను సమర్పించడానికి క్రింది బటన్‌ను క్లిక్ చేయండి.,Click the button below to submit this form as it is currently filled out.,This is the hint that appears on the last screen of a form for anonymous users (users who are not logged in to your server). It replaces the options to name and finalize the form.,,
web.forms.page.filling.last.screen.mark.finalized.checkbox,ఫారమ్‌ పూర్తయినట్లు గుర్తించండి,Mark form as finalized,The checkbox label when a logged-in user reaches the end of a form.,,
web.forms.page.filling.last.screen.name.label,ఈ ఫారమ్‌కు పేరు పెట్టండి,Name this form,The input box label when a logged-in user reaches the end of a form.,,
web.forms.page.filling.last.screen.save.exit.button,ఫారమ్‌ను సేవ్ చేసి నిష్క్రమించండి,Save Form and Exit,The button label for logged-in users when they reach the end of a form.,,
web.forms.page.filling.last.screen.submit.button,ఫారమ్‌ను సమర్పించండి,Submit Form,The button label for anonymous users (users who are not logged in to your server) when they reach the end of a form.,,
web.forms.page.filling.last.screen.title,మీరు {0} చివరిలో ఉన్నారు,You are at the end of {0},This is the headline on the last screen of a form. {0} gets replaced with the current form title and must be included in your translation.,,
web.forms.page.filling.login.panel.loggedin.as,మీరు ప్రస్తుతం ఇలా లాగిన్ అయ్యారు,You are currently logged in as,"This appears in the user dropdown menu in the top right for logged-in users, and is followed by the user's email address.",,
web.forms.page.filling.login.panel.login.and.continue.btn,లాగిన్ అయ్యి కొనసాగించండి ,Log in and continue,The button label in the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).,,
web.forms.page.filling.login.panel.login.btn,లాగిన్ అవ్వండి,Log in,,,
web.forms.page.filling.login.panel.logout.btn,లాగ్ అవుట్,Log out,The button label in the user dropdown menu in the top right for logged-in users.,,
web.forms.page.filling.login.panel.not.loggedin.long,మీరు ప్రస్తుతం లాగిన్ కాలేదు,You are not currently logged in,This appears in the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).,,
web.forms.page.filling.login.panel.not.loggedin.short,లాగిన్ చేయలేదు,Not logged in,This is the label for the user dropdown menu in the top right for anonymous users (users who are not logged in to your server).,,
web.forms.page.filling.menu.add.comment,వ్యాఖ్యలను చేర్చండి ,Add comment,"If your form contains a comments field, this is the menu option label to leave a comment. ",,
web.forms.page.filling.menu.appearance,స్వరూపం,Appearance,UNUSED: depreciated in SCTO_v2.70.14,,This term was replaced by web.forms.page.filling.menu.width.label.
web.forms.page.filling.menu.appearance.default,డిఫాల్ట్,Default,UNUSED: depreciated in SCTO_v2.70.14,,This term was replaced by web.forms.page.filling.menu.width.default
web.forms.page.filling.menu.appearance.small,చిన్న,Small,UNUSED: depreciated in SCTO_v2.70.14,,This term was replaced by web.forms.page.filling.menu.width.narrow
web.forms.page.filling.menu.appearance.small.wide,చిన్న వెడల్పు,Small wide,UNUSED: depreciated in SCTO_v2.70.14,,This term was replaced by web.forms.page.filling.menu.width.narrow
web.forms.page.filling.menu.appearance.wide,వెడల్పు ,Wide,UNUSED: depreciated in SCTO_v2.70.14,,This term was replaced by web.forms.page.filling.menu.width.wide
web.forms.page.filling.menu.clear.responses,ప్రతిస్పందనలను క్లియర్ చేయండి,Clear responses,The option in the 'options' dropdown menu to remove your response from the current field.,,
web.forms.page.filling.menu.exit.to.main.menu,ప్రధాన మెనూకు నిష్క్రమించండి,Exit to main menu,Logged-in users will see this option in the 'options' dropdown menu.,,
web.forms.page.filling.menu.options,ఎంపికలు,Options,The label for the 'options' dropdown menu.,,
web.forms.page.filling.menu.remove.current.repeat.instance,ప్రస్తుత పునరావృత ఉదాహరణను తొలగించండి.,Remove current repeat instance,"In a repeat group, this option will be available in the 'options' dropdown menu.",,
web.forms.page.filling.menu.save.form,ఫారమ్‌ను సేవ్ చేయండి,Save form,Logged-in users will see this option in the toolbar.,,
web.forms.page.filling.menu.skip.to.next,తరువాత దానికి వెళ్లు,Skip to next,Logged-in users will see this option in the 'options' dropdown menu.,,
web.forms.page.filling.menu.start.over,మళ్లీ మొదలెట్టు,Start over,This is the option in the 'options' dropdown menu to discard all the current responses and start over from a blank form.,,
web.forms.page.filling.menu.validate.form,ఫారమ్‌ను ధృవీకరించండి,Validate form,Logged-in users will see this option in the 'options' dropdown menu.,,
web.forms.page.filling.menu.width.default,డిఫాల్ట్,Default,The default setting for form width,,Added in SCTO_v2.70.14.
web.forms.page.filling.menu.width.label,వెడల్పు,Width,The setting to control the width that the form appears on the page.,,Added in SCTO_v2.70.14.
web.forms.page.filling.menu.width.narrow,ఇరుకైన,Narrow,The narrow setting for form width.,,Added in SCTO_v2.70.14.
web.forms.page.filling.menu.width.very.narrow,చాలా ఇరుకైనది,Very narrow,The narrowest setting for form width.,,Added in SCTO_v2.70.14.
web.forms.page.filling.menu.width.wide,వెడల్పు ,Wide,The wide setting for form width.,,Added in SCTO_v2.70.14.
web.forms.page.filling.nav.end,ముగింపుకు వెళ్ళు,Go to end,The tooltip that appears when you hover over the circle 'go to end' button.,,
web.forms.page.filling.nav.next,తరువాత,Next,The tooltip that appears when you hover over the circle 'next' button.,,
web.forms.page.filling.nav.previous,మునుపటి,Previous,The tooltip that appears when you hover over the circle  'previous' button.,,
web.forms.page.filling.nav.start,మొదటికి వెళ్ళు ,Go to start,The tooltip that appears when you hover over the circle 'go to start' button.,,
web.forms.page.filling.next.button,తరువాత,Next,The button label for the blue 'next' button at the bottom right.,,
web.forms.page.filling.numerical.error.not.numeric,దయచేసి సంఖ్యను మాత్రమే నమోదు చేయండి.,Please enter a number only.,Error message that appears when the user is prompted for a decimal value and enters something invalid.,,
web.forms.page.filling.popups.add.comment.intro,దయచేసి దిగువ ఫీల్డ్‌లో మీ వ్యాఖ్యను టైప్ చేయండి:,Please type your comment in the field below:,This is the field label in the pop-up to add a comment.,,
web.forms.page.filling.popups.add.comment.save.button,వ్యాఖ్యను సేవ్ చేయండి,Save comment,This is the button label in the pop-up to save a comment.,,
web.forms.page.filling.popups.add.comment.title,వ్యాఖ్యను చేర్చండి ,Add comment,This is the title of the pop-up to add a comment.,,
web.forms.page.filling.popups.add.new.group.message,"క్రొత్త ""{0}"" సమూహాన్ని జోడించాలా?","Add a new ""{0}"" group?",{0} gets replaced with the repeat group label and must be included in your translation.,,
web.forms.page.filling.popups.add.new.group.negative.button,చేర్చవద్దు ,Do not add,The button label to not add a new group in the 'add new group' pop-up for repeat groups.,,
web.forms.page.filling.popups.add.new.group.positive.button,గ్రూప్‌ని చేర్చు,Add group,The button label to add a new group in the 'add new group' pop-up for repeat groups.,,
web.forms.page.filling.popups.add.new.group.title,క్రొత్త గ్రూప్ ని చేర్చాల ?,Add new group?,The title of the 'add new group' pop-up for new repeat groups (when there are no existing instances).,,
web.forms.page.filling.popups.add.one.more.group.message,"మరొక ""{0}"" గ్రూప్ ని చేర్చాల ?","Add another ""{0}"" group?",This is the message in the pop-up for adding a repeat group when there is already at least one instance. {0} gets replaced with the repeat group label and must be included in your translation.,,
web.forms.page.filling.popups.add.one.more.group.title,మరో  గ్రూప్ ని చేర్చాల ?,Add one more group?,The title of the 'add new group' pop-up for repeat groups that contain at least one instance already.,,
web.forms.page.filling.popups.cancel.button,రద్దు,Cancel,Generic button label for all 'cancel' buttons in pop-ups.,,
web.forms.page.filling.popups.capture.media.done.button,పూర్తి,Done,The button label to save the current snapshot in the 'capture media' pop-up.,,
web.forms.page.filling.popups.capture.media.take.button,స్నాప్‌షాట్ తియ్యు,Take snapshot,The button label to take a picture in the 'capture media' pop-up.,,
web.forms.page.filling.popups.capture.media.title,మీడియా ను క్యాప్చర్ చెయ్యి,Capture media,The title of the 'capture media' pop-up.,,
web.forms.page.filling.popups.clear.responses.prompt.button,అన్ని ప్రతిస్పందనలను క్లియర్ చెయ్యి,Clear all responses,The button label to clear all responses in the confirmation pop-up when you attempt to clear responses.,,
web.forms.page.filling.popups.clear.responses.prompt.message,ఈ ప్రస్తుత పేజీలోని అన్ని ప్రతిస్పందనలను క్లియర్ చేయాలా?,Clear all responses on this current page?,The message in the confirmation pop-up when you attempt to clear responses.,,
web.forms.page.filling.popups.clear.responses.prompt.title,నిర్ధారించండి,Confirm,The title of the confirmation pop-up when you attempt to clear responses.,,
web.forms.page.filling.popups.close.button,మూసివేయు ,Close,Generic button label for all 'close' buttons in pop-ups.,,
web.forms.page.filling.popups.confirm.discard.prompt.button,"అవును, నాకు ఖచ్చితంగా తెలుసు!","Yes, I'm sure!",This is the button label to confirm exiting without saving in the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.,,
web.forms.page.filling.popups.confirm.discard.prompt.message,ఇది మీరు నమోదు చేసిన ఏదైనా క్రొత్త డేటాను తీసివేస్తుంది. మీకు సరేన ?,This will discard any new data that you have entered. Are you sure?,This is the message in the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.,,
web.forms.page.filling.popups.confirm.discard.prompt.title,నిష్క్రమణను నిర్ధారించండి,Confirm exit,This is the title of the pop-up when logged in users attempt to exit to main menu and then choose to discard changes.,,
web.forms.page.filling.popups.confirm.title,నిర్ధారించండి,Confirm,Generic pop-up title for confirmation pop-ups.,,
web.forms.page.filling.popups.error.title,పొరపాటు,Error,Generic title of the pop-up window shown when an error message appears to the user and a more specific window title is not available.,,
web.forms.page.filling.popups.exit.form.prompt.message,మీరు నిష్క్రమించే ముందు మీ ఫారమ్‌ను సేవ్ చేయాలనుకుంటున్నారా లేదా మీరు చేసిన అన్ని మార్పులను తీసివేయాలి అనుకుంటున్నారా ?,"Do you want to save your form before exiting, or discard all changes that you've made?",This is the message in the pop-up when logged-in users attempt to exit to main menu.,,
web.forms.page.filling.popups.exit.form.prompt.negative.button,మార్పులను తీసివేయు ,Discard Changes,This is the button label to discard changes in the pop-up when logged-in users attempt to exit to main menu.,,
web.forms.page.filling.popups.exit.form.prompt.positive.button,మార్పులను ఊంచు,Save Changes,This is the button label to save changes in the pop-up when logged-in users attempt to exit to main menu.,,
web.forms.page.filling.popups.exit.form.prompt.title,నిష్క్రమణను నిర్ధారించండి,Confirm exit,This is the title of the pop-up when logged-in users attempt to exit to main menu.,,
web.forms.page.filling.popups.form.saved.confirmation.message,ఫారం విజయవంతంగా సేవ్ చేయబడింది!,Form successfully saved!,This is the message in the confirmation pop-up when a logged-in user saves their form successfully.,,
web.forms.page.filling.popups.form.validated.confirmation.message,ధ్రువీకరణ విజయవంతమైంది!,Validation succeeded!,This is the message in the confirmation pop-up when a logged-in user validates their form successfully.,,
web.forms.page.filling.popups.form.validated.go.to.end.button,ముగింపుకు వెళ్ళు,Go to end,This is the button label in the confirmation pop-up when a logged-in user validates their form successfully.,,
web.forms.page.filling.popups.no.cookies.line1,"మీరు ఈ వెబ్‌సైట్ కోసం ""కుకీ"" మద్దతును నిలిపివేసినట్లు మేము గుర్తించాము. మీరు దీన్ని చేయవచ్చు, కానీ దయచేసి మీ అనామక గుర్తింపును ట్రాక్ చేయడానికి కుకీలు లేకుండా, కొన్ని కారణాల వల్ల మీ సెషన్‌కు అంతరాయం ఏర్పడితే మీరు పాక్షికంగా నింపిన  ఫారమ్‌ను తిరిగి ప్రారంభించలేరు.","We have detected that you have disabled ""cookie"" support for this website. You can do that, but please be aware that, without cookies to track your anonymous identity, you will not be able to resume a partially-filled form should your session be interrupted for some reason.",The warning message that appears when a user has disabled cookies.,,
