Term,Translation,Reference translation,Context,Reference,Comment
web.forms.page.filling.popups.no.cookies.line2,"అలాగే, ఈ సర్వేను పూరించడానికి మరియు మరెవరితోనైనా భాగస్వామ్యం చేయడానికి మీరు ఉపయోగిస్తున్న URL ను కాపీ చేయవద్దు. మీరు అలా చేస్తే, వారు మీ సెషన్‌ను చూడవచ్చు మరియు తిరిగి ప్రారంభించవచ్చు.","Also, do not copy the URL you are using to fill out this survey and share it with anybody else. If you do, they can see and resume your session.",The warning message that appears when a user has disabled cookies.,,
web.forms.page.filling.popups.remove.instance.prompt.button,"అవును, దాన్ని తొలగించు","Yes, remove it",This is the button label in the confirmation pop-up when you try to remove the current repeat instance.,,
web.forms.page.filling.popups.remove.instance.prompt.message,గ్రూప్  తొలగింపును నిర్ధారించండి,Confirm group removal,This is the title of the confirmation pop-up when you try to remove the current repeat instance.,,
web.forms.page.filling.popups.remove.instance.prompt.title,"""{0}"" గ్రూప్ ని మరియు దాని అన్ని సబ్ గ్రూప్స్ ని తొలగించాలా?","Remove group ""{0}"" and all of its sub-groups?",This is the message in the confirmation pop-up when you try to remove the current repeat instance. {0} gets replaced by the repeat group label and instance number and must be included in your translation.,,
web.forms.page.filling.popups.resume.prompt.message,"మీరు ఇప్పటికే ఈ ఫారమ్‌ను పూరించడం ప్రారంభించారు మరియు చివరిగా {0} లో నవీకరించారు. మీరు ఆపివేసిన చోటు నుండి తిరిగి ప్రారంభిస్తారా, లేదా ఆ వెర్షన్‌ను వదిలేసి, కొత్తగా మళ్ళీ  ప్రారంభిస్తారా? (మీరు మళ్లీ ప్రారంభించాలని ఎంచుకుంటే, పాత వెర్షన్‌ తీసివేయబడుతుంది, మరియు తిరిగి పొందలేరు.)","You have already started filling out this form and last updated it on {0}. Resume from where you left off, or discard that version and start again? (If you choose to start again, the old version will be discarded and there is no undo.)",This is the message in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires. {0} gets replaced with the date and time of the last form session and must be included in your translation.,,
web.forms.page.filling.popups.resume.prompt.negative.button,తొలగించు,Discard,This is the button label to discard the old form in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires.,,
web.forms.page.filling.popups.resume.prompt.positive.button,పునః ప్రారంభించు,Resume,This is the button label to resume filling out the old form in the 'resume form' pop-up that is presented when a logged-in user returns after their session expires.,,
web.forms.page.filling.popups.resume.prompt.title,పూర్తి చేయని ఫారమ్  కనుగొనబడింది,Un-finished form found,This is the title of the 'resume form' pop-up that is presented when a logged-in user returns after their session expires.,,
web.forms.page.filling.popups.resume.different.caseid.negative.button,{0}ని పునః ప్రారంభించు,Resume {0},The button label to continue filling out the partially-filled form from memory. {0} will be replaced by the case ID from memory and must be included in your translation.,,
web.forms.page.filling.popups.resume.different.caseid.positive.button,{0}ని ప్రారంభించు,Start {0},The button label to start a brand new form with a new case iD. {0} will be replaced by the case ID from the current URL and must be included in your translation.,,
web.forms.page.filling.popups.resume.different.caseid.title,హెచ్చరిక ,Warning,The title of the pop-up message prompting which case ID to use.,,
web.forms.page.filling.popups.start.over.prompt.button,మార్పులను తీసివేయు,Discard Changes,This is the button label to discard changes in the pop-up when you attempt to start over.,,
web.forms.page.filling.popups.start.over.prompt.message,"అన్ని మార్పులను తీసేసి, ఖాళీ ఫారంతో ప్రారంభించాలా?",Discard all changes and start over with a blank form?,This is the message in the pop-up when you attempt to start over.,,
web.forms.page.filling.popups.start.over.prompt.title,నిష్క్రమణను నిర్ధారించండి,Confirm exit,This is the title of the pop-up when you attempt to start over.,,
web.forms.page.filling.popups.success.title,విజయం,Success,Generic title of 'success' type pop-ups.,,
web.forms.page.filling.popups.warning.title,హెచ్చరిక,Warning,Generic title of 'warning' type pop-ups.,,
web.forms.page.filling.repeat.table.add.row.button,అడ్డు వరుసను జోడించండి,Add row,,,
web.forms.page.filling.repeat.table.back.level.button,ఒక దశ వెనక్కి,Back one level,Tooltip when you hover over the arrow button in the top left of the table summary in a repeat group with the 'table' or 'table-labeled' appearance.,,
web.forms.page.filling.repeat.table.label,సారాంశం,Summary,The heading just above the summary table in a repeat group with the 'table' or 'table-labeled' appearance.,,
web.forms.page.filling.select1.minimal.label,ఒక సమాధానం ఎంచుకోండి,Select one answer,The first option in the dropdown in a select_one field with the 'minimal' appearance.,,
web.forms.page.filling.selectx.minimal.remove.response.button.label,ప్రతిస్పందనను తొలగించండి,Remove response,The button label to remove responses in a select_multiple field with the 'minimal' appearance.,,
web.forms.page.filling.text.error.numbers.appearance.invalid.input,"క్షమించండి, మీరు సంఖ్యా అంకెలు, మైనస్ చిహ్నాలు (-), ప్లస్ చిహ్నాలు (+), కామాలు (,), చుక్కలు (.) మరియు ఖాళీలు () మాత్రమే నమోదు చేయవచ్చు.","Sorry, you may only enter numeric digits, minus symbols (-), plus symbols (+), commas (,), dots(.), and spaces ( ).","Error message that appears when the user enters one or more invalid characters into a field that uses the ""numbers"" appearance for showing the numeric keypad on mobile devices.",,
web.forms.page.filling.text.error.numbers.phone.appearance.invalid.input,"క్షమించండి, మీరు ఫోన్ అంకెలు, మైనస్ చిహ్నాలు (-), ప్లస్ చిహ్నాలు (+), చుక్కలు (.), హ్యాష్‌ట్యాగ్‌లు (#), ఆస్టరిస్క్‌లు (*) మరియు ఖాళీలు () మాత్రమే నమోదు చేయవచ్చు.","Sorry, you may only enter phone digits, minus symbols (-), plus symbols (+), dots (.), hashtags (#), asterisks (*), and spaces( ).","Error message that appears when the user enters one or more invalid characters into a field that uses the ""numbers_phone"" appearance for showing the phone-number keypad on mobile devices.",,
web.forms.page.filling.text.error.url.appearance.blank,Url సెట్ చేయబడలేదు.,No url is set.,"Error message that appears when the user clicks to open the URL on a field with the ""url"" appearance but there is no URL to open.",,
web.forms.page.filling.text.url.appearance.button,Url ను ఓపెన్ చెయ్యు,Open Url,,,
web.forms.page.filling.thankyou.not.submitted.text,ధన్యవాదాలు! డేటా సమర్పించబడలేదు.,Thank you! No data was submitted.,The message after you 'submit' a form in the test view of the Form Designer but choose to discard the data.,,
web.forms.page.filling.thankyou.not.submitted.title,ఫారం సమర్పించబడలేదు,Form was not submitted,The title after you 'submit' a form in the test view of the Form Designer but choose to discard the data.,,
web.forms.page.filling.thankyou.submitted.text,ధన్యవాదాలు! మీ ఫారం విజయవంతంగా సమర్పించబడింది.,Thank you! Your form has been successfully submitted.,The message after you submit a form.,,
web.forms.page.filling.thankyou.submitted.title,ఫారం విజయవంతంగా సమర్పించబడింది,Form successfully submitted,The title after you submit a form.,,
web.forms.page.filling.unknown.field.type.error.not.supported,"{0}' ఫీల్డ్ యొక్క రకాన్ని వెబ్ ఇంటర్‌ఫేస్‌లో ప్రదర్శించలేము, కాబట్టి బదులుగా టెక్స్ట్ ఫీల్డ్ ఉపయోగించబడుతుంది.","The type of the field '{0}' cannot be displayed in the web interface, so a text field will be used instead.",Error message that appears when a field with an unknown field type appears in a web form. {0} gets replaced with the field label and must be included in your translation.,,
web.forms.page.filling.video.select.file.button,వీడియో ఫైల్‌ను ఎంచుకోండి,Select video file,The button label in a 'video' field type.,,
web.forms.page.forms.header,పూరించడానికి ఖాళీ ఫారమ్‌ను ఎంచుకోండి:,Choose a blank form to fill out:,The heading text at the top of the 'fill blank form' page.,,
web.forms.page.forms.title,ఖాళీ ఫారమ్ నింపండి,Fill blank form,The page title of the 'fill blank form' page.,,
web.forms.page.main.download.app.button,ఆప్ డౌన్లోడ్ చేయండి,Download app,The button label on the main menu page.,,
web.forms.page.main.edit.saved.form.button,సేవ్ చేసిన ఫారమ్‌ను సవరించండి,Edit saved form,The button label on the main menu page (only available to logged-in users).,,
web.forms.page.main.fill.blank.form.button,ఖాళీ ఫారమ్ నింపండి,Fill blank form,The button label on the main menu page for logged-in users to get to the 'fill blank form' page.,,
web.forms.page.main.manage.cases.button,కేసుల నిర్వహణ ,Manage cases,The button label on the main menu page (only available to logged-in users).,,
web.forms.page.main.sub.title,"సురక్షితమైన, అధిక నాణ్యత గల డేటా సేకరణ","Secure, high quality data collection",The page subheading on the main menu page (only visible to logged-in users).,,
web.forms.page.main.title,ప్రధాన మెనూ,Main menu,The page title of the main menu page (only visible to logged-in users).,,
web.forms.page.session.error.resume.failed,చివరిగా సేవ్ చేసిన స్థానం {0} నుండి తిరిగి ప్రారంభించలేరు,Cannot resume from the last saved position: {0},"This is the error message that appears if you try to resume filling out a form from the last saved position, and an unknown error occurs. {0} gets replaced with the path to the last saved position, which includes the field name and the names of any field groups in which the field is located, and must be included in your translation.",,Added in SCTO_v2.70.8.
web.forms.page.session.error.resume.point.invalid,చివరిగా సేవ్ చేసిన స్థానం  {0} సర్వేలో చోటుతో సరిపోలలేదు,The last saved position could not match a place in the survey: {0},"This is the error message that appears if you try to resume filling out a form from the last saved position, but the last saved position can't be found in the form. {0} gets replaced with the path to the last saved position, which includes the field name and the names of any field groups in which the field is located, and must be included in your translation.",,Added in SCTO_v2.70.8.
web.forms.page.session.error.resume.point.not.found,"క్షమించండి, ఈ ఫారమ్‌కు తిరిగి ప్రారంభించాల్సిన స్థానం లేదు.","Sorry, this form doesn't have a saved position from which to resume.","This is the error message that appears if you try to resume filling out a form from the last saved position, but there is no restore point found.",,Added in SCTO_v2.70.8.
web.forms.page.session.error.session.expired,మీరు చాలా కాలంగా క్రియారహితంగా ఉన్నందున ఈ పేజీ గడువు ముగిసింది. కొనసాగించడానికి దయచేసి ఈ పేజీని రిఫ్రెష్ చేయండి.,This page has expired probably because you have been inactive for a long time. Please refresh this page to continue.,This is the message that appears if you try to continue filling out a form but the session has expired.,,Added in SCTO_v2.70.8.
web.forms.page.session.error.session.lost.message.body.anonymous,"మీరు ఇంతకు ముందు లాగిన్ అయ్యారా? అలా అయితే, మళ్ళీ లాగిన్ అవ్వడానికి {0} క్లిక్ చేయండి. లేకపోతే, క్రొత్త సెషన్‌ను ప్రారంభించడానికి {1} క్లిక్ చేయండి.","Were you logged in before? If so, click {0} to log in again. Otherwise, click {1} to start a new session.","When a form session is lost, and you are not logged in, this is the second part of the message that appears. {0} gets replaced with the text from the ""Log in"" button in the current language, and must be included in your translation. {1} gets replaced with the text from the ""Start over"" button in the current language and must be included in your translation.",,Added in SCTO_v2.70.8.
web.forms.page.session.error.session.lost.message.body.logged.in,క్రొత్తదాన్ని ప్రారంభించడానికి దయచేసి {0} క్లిక్ చేయండి.,Please click {0} to start a new one.,"When a form session is lost, and you are logged in, this is the second part of the message that appears. {0} gets replaced with the text from the ""Start over"" button in the current language and must be included in your translation. ",,Added in SCTO_v2.70.8.
web.forms.page.session.error.session.lost.message.prefix," క్షమించండి, కానీ మేము మీ సెషన్‌ను కనుగొనలేకపోయాము.","I'm sorry, but we can't seem to find your session.","When a form session is lost, this is the first part of the message that appears.",,Added in SCTO_v2.70.8.
web.forms.page.session.error.session.lost.title,ఒక లోపము సంభవించినది,An error has occurred,"When a form session is lost, this is the page title for the error page you land on.",,Added in SCTO_v2.70.8.
web.forms.page.shared.form,ఫారమ్ ,form,Form (singular). This is used in multiple places throughout the UI.,,Added in SCTO_v2.70.14.
web.forms.page.shared.forms,ఫారమ్స్ ,forms,Forms (plural). This is used in multiple places throughout the UI.,,Added in SCTO_v2.70.14.
web.forms.page.shared.form.delete.button,తొలగించు,Delete,The button label for deleting a form on the 'delete saved form' page (only available to logged-in users).,,
web.forms.page.shared.form.fill.out,పూరించు,Fill out,The button label for filling out a form from any of the main menu sub-pages.,,
web.forms.page.shared.form.resume.button,పునఃప్రారంభించు,Resume,The button label for resuming a form from the 'edit saved form' page (only available to logged-in users).,,
web.forms.page.shared.form.title,పేరు ,Title,,,
web.forms.page.shared.no.forms.msg,ఉదాహరణలు లేవు.,There are no instances.,The message when there are no saved forms on any of the main menu pages (only available to logged-in users).,,
web.forms.page.shared.return.to.main.page.button,ప్రధాన మెనూకు తిరిగి వెళ్ళు,Return to main menu,The button label for returning to the main menu when you are on any of the main menu sub-pages.,,
web.forms.page.filling.date.months.april,ఏప్రిల్ ,April,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,
web.forms.page.filling.date.months.august,ఆగస్టు ,August,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,
web.forms.page.filling.date.months.december,డిసెంబర్ ,December,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,
web.forms.page.filling.date.months.february,ఫిబ్రవరి ,February,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,
web.forms.page.filling.date.months.january,జనవరి ,January,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,
web.forms.page.filling.date.months.july,జులై ,July,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,
web.forms.page.filling.date.months.june,జూన్ ,June,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,
web.forms.page.filling.date.months.march,మార్చి ,March,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,
web.forms.page.filling.date.months.may,మే ,May,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,
web.forms.page.filling.date.months.november,నవంబర్ ,November,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,
web.forms.page.filling.date.months.october,అక్టోబర్ ,October,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,
web.forms.page.filling.date.months.september,సెప్టెంబర్ ,September,This is the month label used in date and datetime fields with the 'no-calendar' appearance.,,
web.forms.page.filling.error.not.supported.web,"క్షమించండి, ఈ ఫీల్డ్‌ను ప్రదర్శించడంలో లోపం ఉంది. {0} వెబ్ ఫారంలో కింది లక్షణానికి మద్దతు లేదు. ఈ ఫారమ్‌ను నింపడం కొనసాగించడానికి మిమ్మల్ని అనుమతించడానికి ప్రస్తుత ఫీల్డ్ ఫాల్‌బ్యాక్ రూపాన్ని ఉపయోగిస్తుంది. ఉత్తమ ఫలితాల కోసం, ఈ ఫారమ్‌ను పూరించడానికి Android పరికరంలో సర్వేCTO కలెక్ట్ ను  ఉపయోగించండి.","Sorry, there was an error displaying this field. The following feature is not supported in web forms: {0}. The current field may be using a fallback appearance to allow you to continue filling out this form. For best results, use SurveyCTO Collect on an Android device to fill this form out.","This is the error message that is displayed when the current field contains a feature that is unsupported in web forms, but may be supported in Collect for Android or Collect for iOS. {0} will be replaced with the specific feature name that is unsupported, and must be included in your translation.",,
web.forms.page.filling.popups.resume.different.caseid.message,"కేసు ID ""{0}"" కోసం మీరు క్రొత్త ఫారమ్‌ను ప్రారంభించబోతున్నారు. కేసు ID ""{1}"" కోసం మీరు ఫారమ్ నింపడం పూర్తి చేయలేదని మేము గమనించాము. మీరు ఆ ఫారమ్ నింపడం తిరిగి ప్రారంభించాలనుకుంటున్నారా లేదా క్రొత్తదాన్ని ప్రారంభించాలనుకుంటున్నారా?","You are about to start a new form for case ID ""{0}"". We noticed that you haven't finished filling out the form for case ID ""{1}"". Do you want to resume filling out that form, or start a new one?","Whenever a user visits a form that they had already started filling out, SurveyCTO attempts to resume the partially-filled form from memory. If the partially-filled form has a different case ID than the current URL, a pop-up will appear with this message asking which form they wish to fill out. {0} will be replaced by the case ID from the current URL, and {1} will be replaced by the case ID from memory. Both {0} and {1} must be included in your translation.",,
web.forms.page.shared.form.last.saved,చివరిగా సేవ్ చేయబడింది,Last saved,The label preceding the timestamp on all of the main menu sub-pages (only available to logged-in users).,,
web.forms.page.shared.form.last.edited,చివరిగా సవరించబడింది,Last edited,"On the manage cases page, this indicates the date on which saved forms were last changed.",,Added in SCTO_v2.70.14.
web.forms.page.shared.form.name,పేరు ,Name,The label preceding the form name on all of the main menu sub-pages for logged-in users.,,
web.forms.page.shared.form.id,ID,ID,The label preceding the form ID on all of the main menu sub-pages.,,
web.forms.page.shared.form.version,వెర్షన్ ,Version,The label preceding the form version on all the main menu sub-pages.,,
web.forms.page.main.delete.saved.form.button,సేవ్ చేసిన ఫారమ్‌ను తొలగించండి,Delete saved form,The button label on the main menu page (only available to logged-in users).,,
web.forms.page.login.fill.web.data.collection.disabled.text,"(ఈ సర్వర్‌కి, వెబ్ డేటా సేకరణకు అనుమతి లేదు, కాబట్టి మీరు డేటాను సేకరించడానికి మొబైల్ ఆప్ ఉపయోగించాలి.)","(Web data collection has not been enabled for this server, so you must use the mobile app to collect data.)",Warning that appears when you access the login page but an admin has disabled web data collection.,,
web.forms.page.login.go.back.to.console.link,సర్వర్ కన్సోల్‌కు లాగిన్ అవ్వడానికి ఇక్కడ క్లిక్ చేయండి.,Click here to login to the server console.,Link for returning to the server console.,,
web.forms.page.login.fill.web.forms.anonymously.button,వెబ్ ఫారమ్‌లను అనామకంగా పూరించు,Fill web forms anonymously,UNUSED: depreciated in SCTO_v2.70.9,,
web.forms.page.login.or.text,లేదా,Or,UNUSED: depreciated in SCTO_v2.70.9,,
web.forms.page.login.servername.input,సర్వర్ పేరు:,Server name:,The label for the server name input on the login page.,,
web.forms.page.login.username.input,ఇమెయిల్ చిరునామా లేదా యూజర్ నేమ్,Email address or username:,The label for the username input on the login page.,,
web.forms.page.login.username.placeholder,మీ ఇమెయిల్ లేదా యూజర్ నేమ్,Your email or username,This is the placeholder for the username input on the login page.,,
web.forms.page.login.password.input,పాస్‌వర్డ్:,Password:,The label for the password input on the login page.,,
web.forms.page.login.password.placeholder,మీ పాస్‌వర్డు,Your password,This is the placeholder for the password input on the login page.,,
web.forms.page.login.back.button,తిరిగి,Back,"The button label for changing the username for login. Appears when external authentication (SSO) is set up on the server, but the current username specified requires a password.",,
web.forms.page.login.next.button,తరువాత,Next,"The button label for proceeding with the login. Appears when external authentication (SSO) is set up on the server, but the current username specified requires a password.",,
web.forms.page.login.login.button,లాగిన్,Log in,The button label for logging in.,,
web.forms.page.login.terms.conditions.link,నిబంధనలు మరియు షరతులు,Terms and conditions,The label for the terms and conditions link.,,
web.forms.page.login.brought.to.you.by.text,మీకు తీసుకువచ్చారు,Brought to you by,Dobility branding. Appears only on the login page.,,
web.forms.page.login.no.cookies.error,"మీ ఇంటర్నెట్ బ్రౌజర్ యొక్క గోప్యతా సెట్టింగ్‌లలో మీరు ""కుకీ"" మద్దతును నిలిపివేసినట్లు కనిపిస్తోంది, అయితే సర్వేCTO కుకీలు పనిచేయడం అవసరం. అందువల్ల, మీరు కుకీలను ప్రారంభించి, ఈ పేజీని రిఫ్రెష్ చేసే వరకు మీరు లాగిన్ అయ్యే అవకాశం లేదు.","It looks like you have disabled ""cookie"" support in your Internet browser's privacy settings, but SurveyCTO requires cookies to function. Therefore, you are unlikely to be able to login until you enable cookies and refresh this page.",Error message that appears when you try to log in with cookies disabled.,,
web.forms.page.login.authentication.options.error,"క్షమించండి, '{0}' కోసం ప్రామాణీకరణ ఎంపికలను మేము గుర్తించలేకపోయాము.",I'm sorry but we couldn't identify authentication options for '{0}'.,Error message that appears when the server cannot identify authentication options for a username. {0} gets replaced with the attempted username and must be included in your translation.,,
web.forms.page.login.headline,లాగిన్ అవ్వు,Log in to,The headline above the login section on the login page. This text is immediately followed by the server name.,,Added in SCTO_v2.70.9.
web.forms.page.login.existing.account.text,ఈ సర్వర్‌లో మీకు ఇప్పటికే యూజర్ ఖాతా ఉందా?,Do you already have a user account on this server?,This is the hint text that appears above the login section on the login page.,,Added in SCTO_v2.70.9.
web.forms.page.login.view.public.forms.text,లాగిన్ చేయకుండా ఫారమ్‌లను పూరించాలనుకుంటున్నారా?,Want to fill out forms without logging in?,This is the hint text that appears on the login page above the button to view public forms without logging in.,,Added in SCTO_v2.70.9.
web.forms.page.login.view.public.forms.button,పబ్లిక్ ఫారమ్‌లను చూడండి,View public forms,This is the button label on the login page to view public forms without logging in.,,Added in SCTO_v2.70.9.
web.forms.page.login.private.form.title,ఈ ఫారం ప్రైవేట్,This form is private,This is the title of the message box that appears when you follow a direct link to a private web form without being logged in.,,Added in SCTO_v2.70.9.
web.forms.page.login.private.form.body.line1,మీరు పూరించడానికి ప్రయత్నిస్తున్న ఫారమ్ ({0})ని {1} లోని ఖాతాతో మాత్రమే యాక్సెస్ చేయవచ్చు.,The form you're attempting to fill out ({0}) can only be accessed with an account on {1}.,This is the first part of the message that appears when you follow a direct link to a private web form without being logged in. {0} gets replaced with the form ID. {1} gets replaced with the server URL. Both must be included in your translation.,,Added in SCTO_v2.70.9.
web.forms.page.login.private.form.body.line2,"ఈ సర్వర్‌లో మీకు యూజర్ ఖాతా లేకపోతే, దయచేసి మీకు ఈ లింక్ ఇచ్చిన వ్యక్తిని సంప్రదించి, యూజర్ నేమ్ మరియు పాస్‌వర్డ్ కోసం అడగండి. లేదా, ఈ ఫారం కోసం {0} ను అనుమతించమని వారిని అడగండి.","If you do not have a user account on this server, please contact the person who gave you this link and ask them for a username and password. Or, ask them to allow {0} for this form.","This is the second part of the message that appears when you follow a direct link to a private web form without being logged in. {0} gets replaced with a link to a documentation article on allowing anonymous access, and must be included in your translation.",,Added in SCTO_v2.70.9.
web.forms.page.login.private.form.allow.anonymous.link,అనామక ప్రవేశానికి అనుమతించు,allow anonymous access,This is the label for the link in the previous term (web.forms.page.login.private.form.body.line2).,,Added in SCTO_v2.70.9.
web.forms.page.login.download.app.text,కలెక్ట్ ఆప్  కోసం చూస్తున్నార?,Looking for the Collect app?,This is the hint text that appears on the login page above the links to download the Collect app on the Apple App Store and Google Play Store.,,Added in SCTO_v2.70.9.
web.forms.page.shared.blank.forms,ఖాళీ ఫారమ్‌లు,Blank Forms,"On the manage cases page, this is the list of forms that have not yet been filled out.",,Added in SCTO_v2.70.14.
web.forms.page.shared.saved.forms,సేవ్ చేసిన ఫారమ్‌లు,Saved Forms,"On the manage cases page, this is the list of forms which have been partially filled out and saved.",,Added in SCTO_v2.70.14.
web.forms.page.manage.cases.title,కేసుల నిర్వహణ,Manage cases,The page title on the manage cases page.,,Added in SCTO_v2.70.14.
web.forms.page.manage.cases.filter.description.text,కేసులు మాత్రమే,Only cases with,This is the label used to filter the case list to only show cases that contain a specific bit of text.,,Added in SCTO_v2.70.14.
web.forms.page.manage.cases.filter.button,ఫిల్టర్,Filter,This is the button used to filter the list of cases on the manage cases page.,,Added in SCTO_v2.70.14.
web.forms.page.manage.cases.no.cases,కేసులు కనుగొనబడలేదు.,No cases were found.,This is the text that appears when there are no cases at all to show.,,Added in SCTO_v2.70.14.
web.forms.page.manage.cases.no.filter.results,ఈ ఫిల్టర్‌తో కేసులు కనుగొనబడలేదు.,No cases were found with this filter.,This is the text that appears when the user enters a search query that produces no results.,,Added in SCTO_v2.70.14.
web.forms.page.manage.cases.form.title,ఫారం పేరు ,Form title,"On the manage cases page, this is the label in front of the form name/form title.",,Added in SCTO_v2.70.14.